ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0367,,M0030,,ISLTX,N01,,13-05-12,O,,SALE,,VATIC,,TEM,03-07-12,17:37:11,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0369,,L0004,,ISLTX,N01,ST,14-05-12,O,,SALE,,VATIC,,TEM,18-06-12,11:20:25,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0372,,S0044,,ISLTX,,,15-05-12,O,,SALE,,VATIC,,TEM,18-06-12,11:11:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0392,,N0007,,ISLTX,N01,CT,17-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:01:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,170.70,,512.10,512.10,TIC/0393,,G0010,,ISLTX,V01,ST,17-05-12,O,,SALE,,VATIC,,TEM,18-06-12,12:03:45,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0394,,J0010,,ISLTX,N01,ST,17-05-12,O,,SALE,,VATIC,,TEM,18-06-12,13:10:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,170.70,,512.10,512.10,TIC/0400,,S0048,,ISLTX,M01,JC,17-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:44:25,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0395,,S0054,,ISLTX,N01,PR,17-05-12,O,,SALE,,VATIC,,TEM,21-06-12,15:10:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0387,,O0006,,ISLTX,D02,PR,17-05-12,O,,SALE,,VATIC,,TEM,26-06-12,11:20:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0399,,H0035,,ISLTX,M01,H1,18-05-12,O,,SALE,,VATIC,,TEM,11-06-12,18:19:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0409,,H0036,,ISLTX,D02,BR,18-05-12,O,,SALE,,VATIC,,TEM,12-06-12,12:27:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,170.70,,853.50,853.50,TIC/0412,,S0056,,ISLTX,,,18-05-12,O,,SALE,,VATIC,,TEM,18-06-12,10:42:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,170.70,,170.70,170.70,TIC/0401,,V0013,,ISLTX,N01,ST,18-05-12,O,,SALE,,VATIC,,TEM,18-06-12,12:05:40,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,170.70,,170.70,170.70,TIC/0404,,K0013,,ISLTX,P01,,18-05-12,O,,SALE,,VATIC,,TEM,18-06-12,12:08:30,,,,,,,
